,,,,,,,
Owner,#,Scenario,Sample input,Prompt for output,Sample output,GE LLM run time in seconds,GE LLM Response
Nisha,1,"- Post meeting summary, attributes, and action items","Okay ah, just met Marcus just now at Tanjong Pagar, quick voice note so I don’t forget.","Generate a detailed but also concise post meeting summary (that can be consumed on a mobile interface) based on the below recap that was recorded by the advisor. for the meeting summary, include sections such as overview in a narrative style with key bullets (including elements like purpose of meeting, type of review, who attended, current stage of conversation, tone and sentiments, overall insights), discussion points, and action items split by customer follow-up actions vs. advisor follow-up actions. After the meeting summary, in a separate section, extract any financial (e.g., income, annual bonus, CPF OA balance, CPF SA balance, investments, capital assets, child's university, fees) and relationship attributes (e.g., career change, travel plans, sports and fitness preferences, food and dining preferences, marital or relationship dynamics) mentioned by the customer. Label the category of attribute as well as the value. And in a third separate section, include the same action items that were generated in the meeting summary. If there are multiple customers in one meeting, generate one meeting summary, but the attributes and action items should be extracted per customer e.g., ""Customer 1 -xx,xx,xx "", ""Customer 2 -xx,xx,xx"". For action items, do not infer action items, but only include items that are explicitly mentioned in the transcript.",1. Overview,34,### Meeting Summary
,,- Based on voice recap,,,,,
,,- One customer,"Uhh so he just changed job recently, like about 3 months ago. From banking go to fintech startup, so now his pay structure a bit different. Last time he was earning about 9.5k plus bonus maybe 3 months, now base around 8k but got equity la… so I think he also not very sure how stable long term.",<Insert voice recap transcript>,This was a post–career transition review with Marcus to understand his updated financial situation and assess whether his current plans are still adequate.,,#### Overview
,,,,,,,- **Purpose of Meeting**: Review of Marcus's financial and protection needs following a career change and recent property purchase.
,,,"Then biggest thing is he just bought a condo last year, loan quite big sia… about 1.1 mil. Monthly like 4.2k, mostly using CPF. His OA now left about 60k only, SA around 110k which is actually quite okay.",,Purpose: Reassess finances and protection after job change,,- **Type of Review**: Financial and insurance coverage assessment.
,,,,,Type: Early-stage review (fact-finding + gap identification),,- **Who Attended**: Marcus and the advisor.
,,,"Savings wise got about 70k cash, investments around 180k… he doing DCA like 1.5k every month into ETF and some tech stocks. So actually financially quite decent la, just that his protection side really quite weak.",,"Attendees: Advisor, Marcus",,- **Current Stage of Conversation**: Initial discussion on gaps in protection and financial planning.
,,,,,Stage: Discovery phase → preparing for recommendation,,- **Tone and Sentiments**: Open and concerned about cash flow and stability.
,,,"He only got hospital plan with rider, AIA one, then term plan only 300k. No CI at all… which I think quite dangerous especially now he in startup, income not stable.",,Tone & Sentiment: Open and receptive; slightly cautious due to income stability and cash flow,,"- **Overall Insights**: Marcus is financially stable but has significant gaps in protection, especially with his new job and upcoming responsibilities."
,,,,,Overall Insight:,,
,,,"Also ah, he quite active — gym and recently do Muay Thai. He say last time got ankle injury but never claim anything because no personal accident. So that one quite obvious gap.",,"Marcus has built a solid financial base, but his protection coverage has not kept pace with his increased liabilities and upcoming life stage changes",,#### Discussion Points
,,,,,2. Discussion Points,,- Career change from banking to fintech startup (3 months ago).
,,,"Then personal side… he got girlfriend, about 1 year already, quite serious. He mention maybe 2–3 years will get married, then maybe kids few years later. So actually his responsibilities will increase quite a lot soon.",,,,"- Income structure changed: Base salary of 8k with equity, previously 9.5k plus bonus."
,,,,,Career & Income,,"- Recent purchase of a condo (loan of 1.1 mil, monthly repayment of 4.2k, mostly using CPF)."
,,,So overall I think main things for him:,,,,"- CPF balances: OA ~60k, SA ~110k."
,,,- confirm need to add personal accident,,Recently moved from banking to fintech startup (~3 months),,"- Savings: 70k cash, investments ~180k (DCA of 1.5k/month into ETFs and tech stocks)."
,,,- CI coverage is a must,,Income shifted from stable salary + bonus → lower base + equity,,"- Protection gaps: Only hospital plan with rider, term plan of 300k, no CI or personal accident coverage."
,,,"- term coverage need to increase, because now his loan already 1.1 mil but coverage only 300k, confirm not enough",,Some uncertainty around long-term income stability,,"- Active lifestyle: Gym and Muay Thai, previous ankle injury with no personal accident coverage."
,,,,,,,"- Personal life: In a serious relationship (1 year), plans to marry in 2–3 years, possibly have kids later."
,,,"He quite open lah, but also concerned about cash flow since his salary structure changed.",,Housing & Commitments,,
,,,,,,,#### Action Items
,,,"Next step he will send me his policies, CPF, and expenses. Then I will do proper calculation and propose.",,Purchased a condo last year,,**Customer Follow-Up Actions**:
,,,,,Large mortgage with ongoing repayments mainly via CPF,,"- Send policies, CPF, and expenses to the advisor."
,,,We are meeting next Thursday evening.,,Creates higher dependency on consistent income,,
,,,,,,,**Advisor Follow-Up Actions**:
,,,"Ya overall quite good client, just need to tighten up protection side.",,Financial Position,,- Perform proper calculations and propose solutions.
,,,,,,,
,,,,,Maintains healthy cash savings and investment portfolio,,---
,,,,,Regular monthly investing (DCA into ETFs and tech stocks),,
,,,,,,,### Extracted Attributes
,,,,,Protection Overview,,
,,,,,,,#### Financial Attributes
,,,,,Currently only covered by hospital plan (with rider) and a term plan,,- **Income**: Base salary of 8k with equity (previously 9.5k plus bonus).
,,,,,No critical illness or personal accident coverage,,- **CPF OA Balance**: ~60k.
,,,,,Existing term coverage low relative to housing loan,,- **CPF SA Balance**: ~110k.
,,,,,,,- **Savings**: 70k cash.
,,,,,Lifestyle & Risk Exposure,,- **Investments**: ~180k (DCA of 1.5k/month into ETFs and tech stocks).
,,,,,,,"- **Capital Assets**: Condo loan of 1.1 mil, monthly repayment of 4.2k."
,,,,,"Active lifestyle (gym, Muay Thai)",,
,,,,,Past ankle injury with no coverage → highlights risk gap,,#### Relationship Attributes
,,,,,,,- **Career Change**: From banking to fintech startup (3 months ago).
,,,,,Personal & Future Plans,,- **Sports and Fitness Preferences**: Gym and Muay Thai.
,,,,,,,"- **Marital or Relationship Dynamics**: In a serious relationship (1 year), plans to marry in 2–3 years, possibly have kids later."
,,,,,In a serious relationship (~1 year),,
,,,,,"Plans to get married in ~2–3 years, with children thereafter",,---
,,,,,Financial responsibilities expected to increase,,
,,,,,3. Action Items (from Meeting),,### Action Items
,,,,,,,**Customer Follow-Up Actions**:
,,,,,Customer – Follow-up,,"- Send policies, CPF, and expenses to the advisor."
,,,,,,,
,,,,,Send existing policy details,,**Advisor Follow-Up Actions**:
,,,,,Share CPF summary,,- Perform proper calculations and propose solutions.
,,,,,Provide rough monthly expense breakdown,,
,,,,,,,
,,,,,Advisor – Follow-up,,
,,,,,,,
,,,,,Do proper calculation and prepare proposal,,
,,,,,📊 Customer Attributes,,
,,,,,Customer 1 – Marcus,,
,,,,,,,
,,,,,Financial Attributes,,
,,,,,,,
,,,,,Income (Previous): ~9.5k/month + ~3 months bonus,,
,,,,,Income (Current): ~8k/month + equity,,
,,,,,Mortgage: ~$1.1M loan (~$4.2k/month),,
,,,,,CPF OA: ~$60k,,
,,,,,CPF SA: ~$110k,,
,,,,,Cash Savings: ~$70k,,
,,,,,Investments: ~$180k,,
,,,,,Monthly Investment: ~$1.5k (ETF + tech stocks),,
,,,,,Insurance:,,
,,,,,"Hospital plan (AIA, with rider)",,
,,,,,Term life (~$300k),,
,,,,,No CI / No PA,,
,,,,,,,
,,,,,Relationship & Lifestyle Attributes,,
,,,,,,,
,,,,,Career Change: Banking → Fintech startup (~3 months ago),,
,,,,,Income Stability: Uncertain due to startup + equity structure,,
,,,,,Lifestyle: Gym + Muay Thai,,
,,,,,Health: Previous ankle injury,,
,,,,,"Relationship Status: Attached (~1 year, serious)",,
,,,,,Future Plans:,,
,,,,,Marriage: ~2–3 years,,
,,,,,Children: Few years after marriage,,
,,,,,🔁 Action Items (Consolidated),,
,,,,,Customer 1 – Marcus,,
,,,,,Send existing policy details,,
,,,,,Share CPF summary,,
,,,,,Provide monthly expense breakdown,,
,,,,,Advisor,,
,,,,,Do proper calculation and prepare proposal,,
Nisha,2,"- Post meeting summary, attributes, and action items","Okay quick one ah, just finished meeting John and Sarah, husband and wife, at Novena.","Generate a detailed but also concise post meeting summary (that can be consumed on a mobile interface) based on the below recap that was recorded by the advisor. for the meeting summary, include sections such as overview in a narrative style with key bullets (including elements like purpose of meeting, type of review, who attended, current stage of conversation, tone and sentiments, overall insights), discussion points, and action items split by customer follow-up actions vs. advisor follow-up actions (if multiple customers, split by customer 1, 2, etc.). After the meeting summary, in a separate section, extract any financial (e.g., income, annual bonus, CPF OA balance, CPF SA balance, investments, capital assets, child's university, fees) and relationship attributes (e.g., career change, travel plans, sports and fitness preferences, food and dining preferences, marital or relationship dynamics) mentioned by the customer. Label the category of attribute as well as the value. And in a third separate section, include the same action items that were generated in the meeting summary. If there are multiple customers in one meeting, generate one meeting summary, but the attributes and action items should be extracted per customer e.g., ""Customer 1 -xx,xx,xx "", ""Customer 2 -xx,xx,xx"". For action items, do not infer action items, but only include items that are explicitly mentioned in the transcript.",## 📝 Meeting Summary (John & Sarah),52,### Meeting Summary
,,- Based on voice recap,,,,,
,,- Two customers,"So both of them quite stable actually. John recently changed job — now in tech, product manager role. Salary about 9k, but bonus not as good as before, last time he say can get like 4–5 months, now maybe 1–2 only. Sarah still with MOE, earning about 5.5k, but she might take up HOD role next year so maybe go up to like 6.5k.",<Insert voice recap transcript>,---,,#### Overview
,,,,,,,"- **Purpose of Meeting**: Financial and insurance review for John and Sarah, a married couple."
,,,"Combined income quite okay la, around 14k+.",,### 1. Overview,,- **Type of Review**: Comprehensive financial and insurance assessment.
,,,,,,,"- **Attendees**: John, Sarah, and the advisor."
,,,"They got one daughter, 18 this year, going uni next year, likely NUS business. They estimate about maybe 10–12k per year for school fees plus expenses, and they want to fully support her.",,"This was a financial review session with John and Sarah to assess their current financial position, protection coverage, and upcoming needs—particularly their daughter’s university and longer-term plans.",,- **Current Stage of Conversation**: Initial review; next steps identified.
,,,,,,,- **Tone and Sentiments**: Positive and collaborative; both clients are stable and disciplined in their financial habits.
,,,"They already set aside about 60k for that, but I feel still a bit borderline if include hostel and all.",,"* **Purpose:** Review financial position, identify protection gaps, and plan for daughter’s education",,"- **Overall Insights**: The couple is financially stable but has gaps in personal accident coverage, critical illness (CI) insurance, and education planning for their daughter."
,,,,,* **Type:** Early-stage review (fact-finding + gap identification),,
,,,"Assets wise — John CPF OA around 40k because used for housing, SA about 85k. Sarah OA about 90k, SA 70k. They still paying HDB loan, about 20 years left.",,"* **Attendees:** Advisor, John (Customer 1), Sarah (Customer 2)",,#### Discussion Points
,,,,,* **Stage:** Discovery phase → moving towards recommendations,,- **Income and Career**:
,,,"Investments they are quite disciplined actually — doing about 1k monthly into ETFs, total portfolio around 120k already.",,"* **Tone & Sentiment:** Practical, stable, and financially disciplined; open to advice",,"  - John: Recently changed jobs to a tech product manager role, earning ~9k/month with reduced bonuses (1–2 months vs. previous 4–5 months)."
,,,,,* **Overall Insight:**,,"  - Sarah: Works with MOE, earning ~5.5k/month, with potential promotion to HOD next year (~6.5k/month)."
,,,"Lifestyle wise quite interesting — John into cycling recently, every weekend go East Coast, Sarah more chill but she say sometimes will join. John mentioned he had a small fall last time, wrist injury, but never claim anything.",,"  Household finances are **strong and well-managed**, but there are **clear gaps in protection (PA, CI)** and **education funding not fully secured**",,- **Combined Income**: ~14k+/month.
,,,,,,,- **Daughter’s Education**: Daughter (18) will attend NUS Business next year; estimated annual cost of ~10–12k. Current savings: ~60k (advisor notes this may be insufficient).
,,,So main gap I see is actually both of them don’t have proper personal accident. Sarah got some group coverage from school but quite basic.,,---,,- **Assets**:
,,,,,,,"  - John: CPF OA ~40k (used for housing), CPF SA ~85k."
,,,"Insurance wise — hospital plan all under NTUC, got rider. John has term about 500k, Sarah about 300k. CI coverage not very strong, John’s one quite old.",,### 2. Discussion Points,,"  - Sarah: CPF OA ~90k, CPF SA ~70k."
,,,,,,,  - HDB loan: ~20 years left.
,,,So overall:,,**Income & Career**,,- **Investments**: Disciplined monthly contributions (~1k) to ETFs; total portfolio ~120k.
,,,- personal accident missing for both,,,,- **Lifestyle**:
,,,"- CI need to review, especially John",,* John recently switched to a tech/product role with improved base salary but reduced bonus upside,,  - John: Enjoys cycling (East Coast Park weekends); recent wrist injury from a fall (no claim made).
,,,"- education planning for daughter not fully secured yet, currently mostly cash",,"* Sarah remains in MOE, with potential promotion and income increase",,  - Sarah: More relaxed but occasionally joins John’s cycling.
,,,,,* Combined income is stable and supports current lifestyle comfortably,,- **Insurance Gaps**:
,,,"They also mention maybe in future want to upgrade to condo, but not so soon, maybe after daughter graduates.",,,,  - No proper personal accident coverage (Sarah has basic group coverage from MOE).
,,,,,**Family & Education Planning**,,"  - CI coverage is weak, especially John’s (old policy)."
,,,"Cash flow wise they say monthly expenses about 5k, so still got buffer.",,,,- **Future Plans**: Potential condo upgrade after daughter graduates.
,,,,,* Daughter (18) entering university next year (likely local university),,- **Cash Flow**: Monthly expenses ~5k; adequate buffer.
,,,Next step I told them I will:,,* Parents intend to fully fund education,,
,,,- review all their existing plans properly,,"* Current approach relies mainly on savings, which may be tight depending on total costs",,#### Action Items
,,,- propose PA for both,,,,**Customer Follow-Up Actions**:
,,,- look into CI upgrade,,**Assets & Financial Position**,,- John and Sarah will send their policy details to the advisor.
,,,- and also maybe some short-term plan to better secure the daughter’s uni funds,,,,
,,,,,* CPF balances are generally healthy (John’s OA lower due to housing usage),,**Advisor Follow-Up Actions**:
,,,They will send me their policy details first.,,* Ongoing HDB loan with long tenure remaining,,- Review all existing plans.
,,,,,"* Consistent investment strategy via monthly ETF contributions, with a growing portfolio",,- Propose personal accident (PA) coverage for both.
,,,"We tentatively set next meeting next Sunday afternoon, go through everything.",,,,"- Look into CI upgrade, especially for John."
,,,,,**Insurance & Protection**,,- Explore short-term plans to secure daughter’s university funds.
,,,"Overall quite good case, quite balanced already, just need to plug a few gaps.",,,,- Schedule next meeting for the following Sunday afternoon to discuss proposals.
,,,,,* Both covered under hospitalisation plans with riders,,
,,,,,* Term life coverage in place for both,,---
,,,,,"* Critical illness (CI) coverage is limited, especially for John",,
,,,,,* Personal accident (PA) coverage lacking (Sarah only has basic group coverage),,### Extracted Attributes
,,,,,,,
,,,,,**Lifestyle & Risk Exposure**,,#### Financial Attributes
,,,,,,,**John**:
,,,,,* John cycles regularly and had a prior minor accident,,- Income: ~9k/month
,,,,,* Sarah less active but occasionally joins,,- Annual Bonus: 1–2 months (previously 4–5 months)
,,,,,* Current lifestyle increases exposure to accident risk without adequate coverage,,- CPF OA Balance: ~40k
,,,,,,,- CPF SA Balance: ~85k
,,,,,**Future Plans**,,- Daughter’s University Fees: ~10–12k/year
,,,,,,,- Savings for Daughter’s Education: ~60k
,,,,,* Considering upgrading to a condo in the future (post daughter’s graduation),,- Investments: ~1k/month into ETFs; total portfolio ~120k
,,,,,* Monthly expenses manageable with buffer,,- Monthly Expenses: ~5k
,,,,,,,
,,,,,**Key Gaps Identified**,,**Sarah**:
,,,,,,,- Income: ~5.5k/month (potential HOD role: ~6.5k/month)
,,,,,* Lack of proper personal accident coverage for both,,- CPF OA Balance: ~90k
,,,,,* Need to review and strengthen CI coverage,,- CPF SA Balance: ~70k
